sentence	gender	duration	audio
karatasi kubwa 	female_feminine	2.1675	common_voice_sw_34840208.wav
mambo ya kujiuliza katika safari yenu ya matembezi hifadhini 	female_feminine	4.6155	common_voice_sw_30378017.wav
mavi ya ngombe inahakikisha kuwa paa halivuji na maji ya mvua yasiweze kupita 	male_masculine	9.1155	common_voice_sw_30321686.wav
kia maslahi ya kundi la watu wachache kwa kibaraka 	female_feminine	6.2355	common_voice_sw_35104537.wav
aliwahi kuwa makamu wa rais na alifariki akiwa waziri wa usalama wa ndani 	female_feminine	5.0475	common_voice_sw_28583379.wav
walioweza kusimama mbele ya wafalme na kutetea haki za watu 	female_feminine	6.3435	common_voice_sw_34760002.wav
tembo na nyani pia wapo chui bila kusahau pundamilia na wanyama wengine wanaokula majani 	male_masculine	8.2155	common_voice_sw_30180867.wav
watanzania wa tabaka mbalimbali walivyomkumbuka ruge mutahaba kutokana na nguvu kubwa ya uhamasishaji 	female_feminine	10.0875	common_voice_sw_36644649.wav
wanyamwezi ni kabila la tanzania wanaoishi katika mikoa ya tabora na shinyanga 	female_feminine	5.9835	common_voice_sw_34831575.wav
kupata maendeleo makubwa wilayani mwao kupitia mfumo huu 	male_masculine	4.6155	common_voice_sw_29994704.wav
tunamaliza saa tisa 	female_feminine	2.9235	common_voice_sw_35183431.wav
lakini baadaye munyigumba akajirudi kwa kuhisi angepata aibu hivyo ikabidi amrudishe 	male_masculine	8.7555	common_voice_sw_29795445.wav
